Wall time,Step,Value
1753542602.2380545,1835008,0.0
1753542691.872266,1839616,0.936718761920929
1753542701.4950378,1840128,0.0
1753542761.2135038,1843200,0.0
1753542771.0519638,1843712,0.0
1753542912.198198,1850880,0.0
1753542950.1668398,1852928,0.0
1753542969.553871,1853952,0.0
1753542988.774362,1854976,0.0
1753543018.9629865,1856512,0.0
1753543049.133131,1858048,0.0
1753543138.4169495,1862656,0.0
1753543198.2358146,1865728,0.0
1753543217.6703084,1866752,0.0
1753543328.2804468,1872384,0.0
1753543337.660227,1872896,0.0
1753543395.8051739,1875968,0.0
1753543463.7233813,1879552,0.0
1753543694.6514866,1891840,0.0
1753543723.9356368,1893376,0.0
1753543753.6844313,1894912,0.0
1753543772.7383285,1895936,0.0
1753543977.4527895,1906688,0.0
1753544007.1220121,1908224,0.0
1753544046.214398,1910272,0.0
1753544055.967144,1910784,0.0
1753544064.7042463,1911296,0.0
1753544124.6227093,1914368,0.0
1753544152.9497955,1915904,0.0
1753544172.3086877,1916928,0.0
1753544193.1220055,1917952,0.0
1753544260.707737,1921536,0.0
1753544299.2453961,1923584,0.0
1753544328.3267777,1925120,0.0
1753544376.5322654,1927680,0.0
1753544456.552727,1931776,0.0
1753544494.4743247,1933824,0.0
1753544513.67286,1934848,0.0
1753544532.271413,1935872,0.0
1753544659.8270383,1942528,0.0
1753544679.409986,1943552,0.0
1753544709.0789149,1945088,0.0
1753544826.9721317,1951232,0.0
1753544866.4449909,1953280,0.44453126192092896
1753544913.7454295,1955840,0.0
1753544933.1992059,1956864,0.0
1753545031.471666,1961984,0.0
1753545051.0174623,1963008,0.0
1753545070.6766727,1964032,0.0
1753545198.2517986,1970688,0.0
1753545257.2279847,1973760,0.0
1753545356.1237724,1978880,0.0
1753545403.9906244,1981440,0.0
1753545471.2491748,1985024,0.0
1753545499.545326,1986560,0.0
1753545520.0118876,1987584,0.0
1753545717.7440057,1997824,0.0
1753545727.573715,1998336,0.0
1753545737.8309243,1998848,0.0
1753545786.165902,2001408,0.0
1753545805.6489358,2002432,0.0
1753545863.4010296,2005504,0.0
1753545901.4184365,2007552,0.0
1753545979.388289,2011648,0.0
1753545988.8698432,2012160,0.0
1753546036.9685419,2014720,0.0
1753546046.3929994,2015232,0.6695312261581421
1753546085.3078785,2017280,0.0
1753546194.519655,2022912,0.0
1753546252.9596348,2025984,0.0
1753546311.5367286,2029056,0.0
1753546340.667708,2030592,0.0
1753546448.6367698,2036224,0.0
1753546488.569435,2038272,0.0
1753546528.3308096,2040320,0.859375
1753546547.9299045,2041344,0.0
1753546596.102695,2043904,0.0
1753546623.500515,2045952,0.0
1753546649.2054684,2048512,0.0
1753546679.7006998,2051072,0.0
1753546707.0808818,2053120,0.0
1753546714.329215,2053632,0.82421875
1753546724.7862592,2054656,0.0
1753546770.5339396,2059264,0.0
1753546775.334277,2059776,0.0
1753546830.639928,2065408,0.0
1753546840.4619656,2066432,0.0
1753546845.509547,2066944,0.0
1753546879.4956055,2070528,0.0
1753546889.3069746,2071552,0.0
1753546897.0261006,2072064,0.0
1753546903.6871347,2072576,0.0
1753546910.6246753,2073088,0.0
1753546937.4770916,2075136,0.0
1753546950.853695,2076160,0.0
