#{"t_start": 1753737605.7958145, "env_id": "MiniGrid-MultiRoom-N4-S5-v0"}
r,l,t
71.192187,80,1020.132293
71.77417,80,1020.750267
71.901683,80,1021.26215
72.330779,80,1021.819178
70.53879,80,1022.35473
72.205867,80,1022.888324
73.549703,80,1023.285143
75.138597,80,1023.849189
71.141587,80,1024.365658
75.029421,80,1024.936235
74.061019,80,1025.460294
70.664349,80,1026.010812
73.015979,80,1026.502924
73.497261,80,1027.123469
71.9331,80,1027.761094
73.913254,80,1028.296753
75.509089,80,1044.660713
80.010667,80,1045.254509
76.003184,80,1045.923485
74.516395,80,1046.514461
76.419227,80,1047.069573
72.830694,80,1047.654852
74.886862,80,1048.226456
77.706709,80,1048.815361
77.75224,80,1049.297132
75.717164,80,1049.876212
77.387339,80,1050.369056
74.313127,80,1050.843158
76.526041,80,1051.317318
74.122233,80,1051.869246
75.83979,80,1052.432654
74.121612,80,1052.899947
75.607634,80,1053.345853
75.769437,80,1053.899229
73.423623,80,1054.43907
73.923012,80,1054.923919
76.105037,80,1055.439482
77.358722,80,1055.998594
76.246057,80,1056.563869
73.634305,80,1057.118506
74.324953,80,1057.628346
76.84369,80,1074.293549
75.884851,80,1074.768542
73.85166,80,1075.19594
74.794153,80,1075.780505
76.078573,80,1076.370721
75.891889,80,1076.969528
74.505399,80,1077.528562
75.111625,80,1078.209007
77.186966,80,1078.757172
78.361937,80,1079.325638
75.755303,80,1079.916158
73.461877,80,1080.462468
71.925448,80,1080.950777
70.055073,80,1081.493419
73.944279,80,1082.038189
74.823283,80,1082.530809
74.189229,80,1083.008429
75.063,80,1083.442106
75.59282,80,1084.006727
76.324531,80,1084.557115
78.071784,80,1085.073869
76.662141,80,1085.566882
74.967459,80,1086.177157
75.573024,80,1086.641186
71.423421,80,1087.049659
71.514703,80,1087.669174
72.555566,80,1104.028393
71.819487,80,1104.569776
72.056145,80,1105.064568
73.613789,80,1105.59991
75.361707,80,1106.131282
71.9697,80,1106.587763
70.111884,80,1107.113823
74.072407,80,1107.573299
77.306992,80,1108.14081
70.168029,80,1108.75804
68.083444,80,1109.289726
70.621318,80,1109.905916
70.613002,80,1110.511319
70.023684,80,1111.079524
72.239398,80,1111.718815
73.722033,80,1112.314184
74.932045,80,1112.89482
74.425163,80,1113.472732
74.136483,80,1114.044042
73.665686,80,1114.610415
73.554618,80,1115.083842
74.577204,80,1115.57384
74.052014,80,1116.165571
74.818377,80,1116.754146
73.412711,80,1117.201781
75.003955,80,1133.773034
72.487138,80,1134.259822
70.578812,80,1134.777457
70.679338,80,1135.22677
71.185474,80,1135.732136
72.312219,80,1136.316634
71.199828,80,1136.843514
72.392807,80,1137.343646
71.263237,80,1138.011943
71.865897,80,1138.497246
73.688969,80,1139.010872
73.50503,80,1139.488905
74.61063,80,1140.129081
74.160233,80,1140.750012
74.162639,80,1141.296843
73.125509,80,1141.913383
74.116678,80,1142.485938
69.559211,80,1143.000952
71.248514,80,1143.571329
70.893473,80,1144.152416
73.739824,80,1144.733742
71.876142,80,1145.244324
72.878409,80,1145.825668
72.380119,80,1146.341412
73.235023,80,1146.888511
72.440749,80,1147.371712
72.481754,80,1164.306391
71.033529,80,1164.804905
71.086808,80,1165.25456
70.400252,80,1165.803339
72.551914,80,1166.341903
73.030012,80,1166.796323
74.222373,80,1167.273437
70.752189,80,1167.750978
68.456969,80,1168.28822
69.633611,80,1168.751761
72.255618,80,1169.220831
72.142727,80,1169.709177
72.956229,80,1170.299458
72.365035,80,1170.812536
72.910343,80,1171.325954
75.38074,80,1171.924266
76.599708,80,1172.498552
74.166539,80,1173.108134
74.261193,80,1173.745162
73.727757,80,1174.401122
73.419851,80,1174.96187
71.859138,80,1175.51246
73.145525,80,1176.177197
74.631595,80,1176.773756
74.13661,80,1177.256659
74.287069,80,1177.88788
69.482895,80,1194.668936
69.80678,80,1195.172149
71.010148,80,1195.649861
70.118762,80,1196.310241
71.663619,80,1196.830524
71.685881,80,1197.320431
68.916109,80,1197.919023
71.153503,80,1198.44866
69.614946,80,1199.062879
68.206383,80,1199.598903
67.189288,80,1200.141419
70.234655,80,1200.693544
71.98794,80,1201.149011
73.00706,80,1201.707362
69.460035,80,1202.294055
69.9975,80,1202.794712
71.23377,80,1203.336656
70.481662,80,1203.888512
70.857063,80,1204.434646
72.787023,80,1205.062719
71.05329,80,1205.603806
71.170119,80,1206.176855
72.292982,80,1206.761901
71.439359,80,1207.277145
72.799597,80,1207.828564
69.198914,80,1225.371663
69.327371,80,1225.979014
70.632423,80,1226.451119
72.153799,80,1226.962645
70.713014,80,1227.41626
70.045597,80,1227.942225
68.596439,80,1228.500016
70.105987,80,1229.074555
68.567536,80,1229.541233
69.073132,80,1230.083393
69.422887,80,1230.57874
70.105867,80,1231.083954
70.629335,80,1231.512218
69.676088,80,1232.021309
70.526539,80,1232.588165
70.376065,80,1233.039348
71.407516,80,1233.501626
70.833798,80,1234.027256
70.628617,80,1234.57177
71.338016,80,1235.182043
71.125068,80,1235.74689
69.494011,80,1236.309561
70.031503,80,1236.914713
68.892675,80,1237.486468
66.800993,80,1238.065973
66.81522,80,1238.677078
64.580631,80,1255.326357
64.836294,80,1255.801729
65.651581,80,1256.42415
66.724454,80,1256.941693
67.784362,80,1257.460737
69.218441,80,1258.090688
70.044947,80,1258.610164
66.937826,80,1259.116255
68.640356,80,1259.613316
68.251219,80,1260.196722
66.9098,80,1260.737891
67.548736,80,1261.28372
69.079588,80,1261.803934
68.402536,80,1262.408146
67.076986,80,1262.873343
68.418148,80,1263.305693
67.473429,80,1263.789597
69.087447,80,1264.388085
